35,1,680
35,2,810
35,3,940
35,4,1070
35,5,1200
40,1,730
40,2,860
40,3,990
40,4,1120
40,5,1250
45,1,780
45,2,910
45,3,1040
45,4,1170
45,5,1300
50,1,830
50,2,960
50,3,1090
50,4,1220
50,5,1350
55,1,880
55,2,1010
55,3,1140
55,4,1270
55,5,1400
60,1,930
60,2,1060
60,3,1190
60,4,1320
60,5,1450
65,1,980
65,2,1110
65,3,1240
65,4,1370
65,5,1500
70,1,1030
70,2,1160
70,3,1290
70,4,1420
70,5,1550
75,1,1080
75,2,1210
75,3,1340
75,4,1470
75,5,1600
80,1,1130
80,2,1260
80,3,1390
80,4,1520
80,5,1650
85,1,1180
85,2,1310
85,3,1440
85,4,1570
85,5,1700
90,1,1230
90,2,1360
90,3,1490
90,4,1620
90,5,1750
95,1,1280
95,2,1410
95,3,1540
95,4,1670
95,5,1800
100,1,1330
100,2,1460
100,3,1590
100,4,1720
100,5,1850
